Year,Company,Energy_Consumption_kWh,Carbon_Emissions_tCO2,Water_Usage_KL,Waste_Generated_kg,Female_Employees_Percent,Board_Independence_Percent,CSR_Spend_INR,Employee_Count,Loan_Portfolio_Value_INR,ESG_Compliance_Score
2024,NextGen Lending,16093,1601.07,1028,1100,48.42,55.07,537071,1807,832229609,65.29
2025,Bharat MicroFinance,38025,1728.01,4783,914,52.28,84.41,419947,1901,681906948,59.65
2022,SustainFin Services,16651,1793.33,4519,165,22.37,44.4,2419276,498,746097854,52.75
2024,GreenCredit NBFC,37812,1622.43,4222,1438,28.85,47.21,4919080,1543,487163547,57.01
2024,FutureTrust Finance,29844,732.47,1184,734,51.93,61.75,2021852,300,758506056,42.44
2025,Bharat MicroFinance,22718,508.52,1769,476,37.23,46.48,3298916,1205,153313199,36.84
2022,UrbanGrowth NBFC,18589,1186.36,4396,603,27.91,47.78,1256740,1749,310584382,54.01
2022,EcoLend Capital,44768,1410.18,3013,1829,35.82,88.35,2743505,1170,589204415,63.7
2024,EcoLend Capital,25022,834.48,3545,823,44.25,64.71,3935768,1730,775849281,50.51
2023,EcoLend Capital,43853,1711.84,2240,353,39.73,45.25,2571723,1451,861475149,38.07
2024,NextGen Lending,5234,1925.08,2922,1515,52.34,42.6,564829,1428,441699940,86.1
2024,UrbanGrowth NBFC,11834,1181.85,2679,1612,53.52,76.75,4247974,479,841670664,81.72
2024,Indifi Finance,20055,967.52,4844,1233,43.46,59.23,4257124,335,329887453,54.65
2024,UrbanGrowth NBFC,8207,1701.49,1735,1751,41.55,54.23,3129202,57,442221652,37.87
2025,Indifi Finance,7400,146.11,2637,391,15.54,74.39,2858344,1563,117092571,31.43
2022,EcoLend Capital,14609,345.12,2119,1573,46.35,74.93,3286640,910,45291617,68.12
2025,SustainFin Services,26473,1706.75,3874,742,34.98,58.02,3333446,245,158623529,57.82
2025,SustainFin Services,28935,1490.85,1185,1681,49.99,87.53,2660392,1631,489063842,65.72
2025,Bharat MicroFinance,28874,890.66,3566,1356,52.32,60,3420430,1276,597465959,48.3
2024,Indifi Finance,45508,1788.82,3159,1821,29.76,58.98,188547,1503,247733193,92.63
2023,EcoLend Capital,30015,767.77,2872,345,51.22,78.89,2983363,1795,637644003,79.1
2022,UrbanGrowth NBFC,19184,1304.31,3546,143,41.38,80.8,1897035,1169,679262028,88.91
2023,SustainFin Services,34543,1305.24,3648,1236,32.12,54.36,1047064,1024,664079329,67.32
2025,Indifi Finance,5650,450.23,3444,1534,17.03,74.45,1701474,790,109330969,77.59
2025,Bharat MicroFinance,37389,641.22,4169,679,44.69,71.96,910137,1657,152266449,83.6
2023,UrbanGrowth NBFC,32328,1840.41,2814,1007,50.73,41.68,2804494,954,415707080,35.68
2023,EcoLend Capital,24416,448.49,3106,1458,38.29,49.77,4209083,1588,845261818,51.08
