Year,Company,Energy_Consumption_kWh,Carbon_Emissions_tCO2,Water_Usage_KL,Waste_Generated_kg,Female_Employees_Percent,Board_Independence_Percent,CSR_Spend_INR,Employee_Count,Loan_Portfolio_Value_INR,ESG_Compliance_Score,Environmental_Score,Social_Score,Governance_Score,Total_ESG_Score,ESG_Risk_Category
2024,NextGen Lending,16093,1601.07,1028,1100,48.42,55.07,537071,1807,832229609,65.29,0.056030336,29.589071,55.07,25.42013343,High Risk
2025,Bharat MicroFinance,38025,1728.01,4783,914,52.28,84.41,419947,1901,681906948,59.65,0.030209183,31.787947,84.41,34.87146777,High Risk
2022,SustainFin Services,16651,1793.33,4519,165,22.37,44.4,2419276,498,746097854,52.75,0.030745205,15.841276,44.4,18.08468088,High Risk
2024,GreenCredit NBFC,37812,1622.43,4222,1438,28.85,47.21,4919080,1543,487163547,57.01,0.032553413,22.22908,47.21,20.84474537,High Risk
2024,FutureTrust Finance,29844,732.47,1184,734,51.93,61.75,2021852,300,758506056,42.44,0.08095281,33.179852,61.75,28.51133672,High Risk
2025,Bharat MicroFinance,22718,508.52,1769,476,37.23,46.48,3298916,1205,153313199,36.84,0.096938912,25.636916,46.48,21.67385036,High Risk
2022,UrbanGrowth NBFC,18589,1186.36,4396,603,27.91,47.78,1256740,1749,310584382,54.01,0.042154822,18.00274,47.78,19.75168393,High Risk
2022,EcoLend Capital,44768,1410.18,3013,1829,35.82,88.35,2743505,1170,589204415,63.7,0.038992148,24.235505,88.35,33.79124836,High Risk
2024,EcoLend Capital,25022,834.48,3545,823,44.25,64.71,3935768,1730,775849281,50.51,0.057595611,30.485768,64.71,28.58176864,High Risk
2023,EcoLend Capital,43853,1711.84,2240,353,39.73,45.25,2571723,1451,861475149,38.07,0.037443631,26.409723,45.25,21.51289435,High Risk
2024,NextGen Lending,5234,1925.08,2922,1515,52.34,42.6,564829,1428,441699940,86.1,0.036777052,31.968829,42.6,22.38535952,High Risk
2024,UrbanGrowth NBFC,11834,1181.85,2679,1612,53.52,76.75,4247974,479,841670664,81.72,0.047578519,36.359974,76.75,33.95202361,High Risk
2024,Indifi Finance,20055,967.52,4844,1233,43.46,59.23,4257124,335,329887453,54.65,0.04903193,30.333124,59.23,26.88854997,High Risk
2024,UrbanGrowth NBFC,8207,1701.49,1735,1751,41.55,54.23,3129202,57,442221652,37.87,0.044455289,28.059202,54.23,24.70454272,High Risk
2025,Indifi Finance,7400,146.11,2637,391,15.54,74.39,2858344,1563,117092571,31.43,0.289196959,12.182344,74.39,26.08738198,High Risk
2022,EcoLend Capital,14609,345.12,2119,1573,46.35,74.93,3286640,910,45291617,68.12,0.132112866,31.09664,74.93,31.86083715,High Risk
2025,SustainFin Services,26473,1706.75,3874,742,34.98,58.02,3333446,245,158623529,57.82,0.03231352,24.321446,58.02,24.71535921,High Risk
2025,SustainFin Services,28935,1490.85,1185,1681,49.99,87.53,2660392,1631,489063842,65.72,0.053183594,32.654392,87.53,36.07659104,High Risk
2025,Bharat MicroFinance,28874,890.66,3566,1356,52.32,60,3420430,1276,597465959,48.3,0.0543623,34.81243,60,28.46547392,High Risk
2024,Indifi Finance,45508,1788.82,3159,1821,29.76,58.98,188547,1503,247733193,92.63,0.03251701,18.044547,58.98,23.1203709,High Risk
2023,EcoLend Capital,30015,767.77,2872,345,51.22,78.89,2983363,1795,637644003,79.1,0.063544119,33.715363,78.89,33.80702655,High Risk
2022,UrbanGrowth NBFC,19184,1304.31,3546,143,41.38,80.8,1897035,1169,679262028,88.91,0.040691596,26.725035,80.8,32.27378714,High Risk
2023,SustainFin Services,34543,1305.24,3648,1236,32.12,54.36,1047064,1024,664079329,67.32,0.039737872,20.319064,54.36,22.41961435,High Risk
2025,Indifi Finance,5650,450.23,3444,1534,17.03,74.45,1701474,790,109330969,77.59,0.102864016,11.919474,74.45,25.95198781,High Risk
2025,Bharat MicroFinance,37389,641.22,4169,679,44.69,71.96,910137,1657,152266449,83.6,0.070379431,27.724137,71.96,29.93339287,High Risk
2023,UrbanGrowth NBFC,32328,1840.41,2814,1007,50.73,41.68,2804494,954,415707080,35.68,0.033323256,33.242494,41.68,22.4900775,High Risk
2023,EcoLend Capital,24416,448.49,3106,1458,38.29,49.77,4209083,1588,845261818,51.08,0.100075592,27.183083,49.77,23.12595514,High Risk
2023,GreenCredit NBFC,18119,429.79,2251,1307,31.11,45.03,2674887,273,405772633,31.39,0.108051839,21.340887,45.03,19.95448684,High Risk
2025,EcoLend Capital,12644,1011.27,695,204,33.06,84.26,115734,1792,679919489,57.5,0.085092358,19.951734,84.26,31.29755714,High Risk
2025,NextGen Lending,13653,275.17,4651,327,43.32,87.79,1739434,199,349267247,87.19,0.154012229,27.731434,87.79,34.71803509,High Risk
2022,EcoLend Capital,19416,1799.79,4763,554,22.93,81.25,384073,1719,59326714,53.33,0.030068484,14.142073,81.25,28.62964929,High Risk
2022,Bharat MicroFinance,29897,290.28,4733,1966,23.18,55.55,2720762,1084,701643311,88.01,0.145139908,16.628762,55.55,21.71168456,High Risk
2025,UrbanGrowth NBFC,6874,1271.46,4259,672,28.88,83.01,1881792,1414,118956740,92.36,0.042868075,19.209792,83.01,30.68308483,High Risk
2023,Bharat MicroFinance,15429,745.59,1027,1865,16.19,42.91,1317812,1515,161251547,35.2,0.084804474,11.031812,42.91,16.21646539,High Risk
2023,UrbanGrowth NBFC,17213,1628.12,4996,1830,41.76,74.26,1874621,1218,219733071,37.61,0.032315886,26.930621,74.26,30.37011265,High Risk
2022,FutureTrust Finance,22640,1220.64,4341,200,32.93,46.21,334912,1344,707650910,87.57,0.041005633,20.092912,46.21,19.90727585,High Risk
2025,FutureTrust Finance,41008,837.78,4904,230,50.75,40.63,4219040,1605,669851496,32.13,0.054594251,34.66904,40.63,22.6115497,High Risk
2022,UrbanGrowth NBFC,20802,1969.36,4344,1364,40.88,48.77,4406460,1973,524834278,76.03,0.028659413,28.93446,48.77,23.32280177,High Risk
2022,UrbanGrowth NBFC,21122,225.84,2367,1914,43.19,88.17,1369062,981,672073367,60.8,0.191211134,27.283062,88.17,34.71240305,High Risk
2024,GreenCredit NBFC,26653,1197.79,3929,1996,41.87,77.71,4780242,1191,751189937,74.06,0.042155943,29.902242,77.71,32.30053498,High Risk
2024,GreenCredit NBFC,48671,1980.18,4032,1592,31.72,65.9,2103296,1269,151663689,42.53,0.028257043,21.135296,65.9,26.12189162,High Risk
2024,EcoLend Capital,29101,1412.81,3345,1481,52.31,86.85,3591550,1970,428315364,78.64,0.038311873,34.97755,86.85,36.56358975,High Risk
2023,Bharat MicroFinance,6409,1505.56,1223,257,51.57,60.81,812096,1791,445706775,63.7,0.055778949,31.754096,60.81,27.79154038,High Risk
2025,NextGen Lending,48388,160.97,4479,177,34.3,42.01,1269630,360,893756580,33.11,0.25581142,21.84963,42.01,19.26021357,High Risk
